my,geoid,br_2020,se_traf,pt_traf,total_traf,borough,shape_area,nta_nam
19-May,36061000100,1000100,8006,108079,116085,Manhattan,1843004.522,The Battery-Governors Island-Ellis Island-Liberty Island
21-May,36061000100,1000100,11585,18824,30409,Manhattan,1843004.522,The Battery-Governors Island-Ellis Island-Liberty Island
19-Jun,36061000100,1000100,1117,29497,30614,Manhattan,1843004.522,The Battery-Governors Island-Ellis Island-Liberty Island
21-Jun,36061000100,1000100,6443,103367,109810,Manhattan,1843004.522,The Battery-Governors Island-Ellis Island-Liberty Island
19-Jul,36061000100,1000100,0,71,71,Manhattan,1843004.522,The Battery-Governors Island-Ellis Island-Liberty Island
21-Jul,36061000100,1000100,11437,79202,90639,Manhattan,1843004.522,The Battery-Governors Island-Ellis Island-Liberty Island
19-Aug,36061000100,1000100,7418,134700,142118,Manhattan,1843004.522,The Battery-Governors Island-Ellis Island-Liberty Island
21-Aug,36061000100,1000100,10118,53982,64100,Manhattan,1843004.522,The Battery-Governors Island-Ellis Island-Liberty Island
19-May,36061000201,1000201,2944,93919,96863,Manhattan,972312.1404,Chinatown-Two Bridges
21-May,36061000201,1000201,5187,51242,56429,Manhattan,972312.1404,Chinatown-Two Bridges
19-Jun,36061000201,1000201,13699,107221,120920,Manhattan,972312.1404,Chinatown-Two Bridges
21-Jun,36061000201,1000201,8139,29183,37322,Manhattan,972312.1404,Chinatown-Two Bridges
19-Jul,36061000201,1000201,11402,27491,38893,Manhattan,972312.1404,Chinatown-Two Bridges
21-Jul,36061000201,1000201,6218,86141,92359,Manhattan,972312.1404,Chinatown-Two Bridges
19-Aug,36061000201,1000201,13579,119219,132798,Manhattan,972312.1404,Chinatown-Two Bridges
21-Aug,36061000201,1000201,764,47742,48506,Manhattan,972312.1404,Chinatown-Two Bridges
19-May,36061000600,1000600,5980,78510,84490,Manhattan,2582705.157,Chinatown-Two Bridges
21-May,36061000600,1000600,7360,73061,80421,Manhattan,2582705.157,Chinatown-Two Bridges
