"geoid","boro_ct2020","op_st_active","op_st_presence","cont"
36061000100,"1000100",0,0,0
36061000201,"1000201",1,1,0
36061000600,"1000600",0,0,1
36061001401,"1001401",1,1,0
36061001402,"1001402",1,1,0
36061001800,"1001800",1,1,0
36061002201,"1002201",0,0,1
36061002601,"1002601",1,1,0
36061002602,"1002602",1,1,0
36061002800,"1002800",1,1,0
36061003100,"1003100",0,0,1
36061003200,"1003200",1,1,0
36061003300,"1003300",0,0,1
36061003400,"1003400",1,1,0
36061003601,"1003601",1,1,0
36061003602,"1003602",0,0,1
36061003700,"1003700",1,1,0
36061003900,"1003900",1,1,0
36061004001,"1004001",1,1,0
36061004002,"1004002",1,1,0
36061004100,"1004100",1,1,0
36061004300,"1004300",1,1,0
36061004500,"1004500",1,1,0
36061005200,"1005200",1,1,0
36061005400,"1005400",1,1,0
36061005501,"1005501",1,1,0
36061005502,"1005502",1,1,0
36061005800,"1005800",1,1,0
36061006300,"1006300",1,1,0
36061006500,"1006500",1,1,0
36061006700,"1006700",1,1,0
36061006800,"1006800",0,0,1
36061007001,"1007001",0,0,0
36061007002,"1007002",0,0,0
36061007100,"1007100",1,1,0
36061007200,"1007200",0,0,1
36061007300,"1007300",1,1,0
36061007600,"1007600",1,1,0
36061007700,"1007700",1,1,0
36061007800,"1007800",0,0,0
36061008000,"1008000",0,0,1
36061008100,"1008100",0,0,1
36061008200,"1008200",1,1,0
36061008300,"1008300",1,1,0
36061008400,"1008400",1,1,0
36061008700,"1008700",1,1,0
36061008900,"1008900",1,1,0
36061009100,"1009100",1,1,0
36061009200,"1009200",0,0,1
36061009300,"1009300",1,1,0
36061009400,"1009400",1,1,0
36061009500,"1009500",0,0,1
36061009600,"1009600",1,1,0
36061009700,"1009700",0,0,1
36061009902,"1009902",1,1,0
36061010000,"1010000",0,0,1
36061010100,"1010100",1,1,0
36061010200,"1010200",0,0,1
36061010400,"1010400",0,0,1
36061010801,"1010801",0,0,0
36061010802,"1010802",0,0,0
36061010803,"1010803",0,0,0
36061010900,"1010900",1,1,0
36061011201,"1011201",0,0,0
36061011202,"1011202",0,0,0
36061011203,"1011203",0,0,0
36061011300,"1011300",1,1,0
36061011402,"1011402",0,0,0
36061011800,"1011800",0,0,0
36061011900,"1011900",1,1,0
36061012000,"1012000",0,0,0
36061012101,"1012101",1,1,0
36061012102,"1012102",1,1,0
36061012200,"1012200",0,0,0
36061012500,"1012500",1,1,0
36061012601,"1012601",0,0,0
36061012602,"1012602",0,0,0
36061012700,"1012700",1,1,0
36061013000,"1013000",0,0,0
36061013100,"1013100",1,1,0
36061013201,"1013201",0,0,0
36061013202,"1013202",0,0,1
36061013300,"1013300",0,0,1
36061013601,"1013601",1,1,0
36061013602,"1013602",1,1,0
36061014801,"1014801",0,0,1
36061014900,"1014900",0,0,0
36061015001,"1015001",0,0,1
36061015002,"1015002",1,1,0
36061015101,"1015101",0,0,0
36061015301,"1015301",0,0,0
36061015302,"1015302",0,0,0
36061015401,"1015401",0,0,1
36061015402,"1015402",0,0,1
36061015403,"1015403",0,0,0
36061015501,"1015501",0,0,0
36061015601,"1015601",0,0,1
36061015602,"1015602",1,1,0
36061015700,"1015700",0,0,0
36061015801,"1015801",0,0,1
36061015802,"1015802",0,0,1
36061016001,"1016001",0,0,1
36061016100,"1016100",0,0,0
36061016200,"1016200",1,1,0
36061016400,"1016400",1,1,0
36061016500,"1016500",0,0,0
36061016600,"1016600",1,1,0
36061016900,"1016900",0,0,0
36061017000,"1017000",1,1,0
36061017100,"1017100",0,0,0
36061017200,"1017200",0,0,1
36061017300,"1017300",0,0,1
36061017401,"1017401",0,0,0
36061017402,"1017402",0,0,0
36061017500,"1017500",0,0,1
36061017700,"1017700",1,1,0
36061018000,"1018000",0,0,1
36061018100,"1018100",1,1,0
36061018400,"1018400",0,0,0
36061018600,"1018600",0,0,1
36061018700,"1018700",1,1,0
36061019300,"1019300",1,1,0
36061019500,"1019500",0,0,1
36061019600,"1019600",0,0,0
36061019702,"1019702",1,1,0
36061019900,"1019900",0,0,1
36061020500,"1020500",0,0,0
36061020600,"1020600",0,0,0
36061020701,"1020701",0,0,1
36061020800,"1020800",0,0,1
36061021303,"1021303",0,0,0
36061021500,"1021500",0,0,1
36061021600,"1021600",1,1,0
36061021703,"1021703",0,0,0
36061021800,"1021800",1,1,0
36061022000,"1022000",0,0,1
36061022102,"1022102",0,0,1
36061022200,"1022200",0,0,1
36061022301,"1022301",0,0,0
36061022400,"1022400",1,1,0
36061022500,"1022500",0,0,0
36061022600,"1022600",1,1,0
36061022800,"1022800",0,0,1
36061023100,"1023100",0,0,0
36061023400,"1023400",0,0,0
36061023502,"1023502",0,0,0
36061024100,"1024100",1,1,0
