CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area
"14.02","1",Manhattan,"001402","1001402",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001402","4103",4459.15601870000,1226206.24719000002
"22.01","1",Manhattan,"002201","1002201",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002201","4103",5779.06260724000,1740173.87581000011
"26.02","1",Manhattan,"002602","1002602",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002602","4103",4491.20321958000,1114857.11794000003
"31","1",Manhattan,"003100","1003100",,Tribeca-Civic Center,MN0102,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),"36061003100","4121",7967.86697746000,2207015.16734999977
"36.02","1",Manhattan,"003602","1003602",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061003602","4103",4076.25032584000,961070.50006100000
"40.01","1",Manhattan,"004001","1004001",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061004001","4103",4151.97686690000,995026.13729600003
"40.02","1",Manhattan,"004002","1004002",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061004002","4103",4046.98099391000,932610.98620699998
"54","1",Manhattan,"005400","1005400",,Midtown South-Flatiron-Union Square,MN0501,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061005400","4165",5588.63701127000,1809255.65822999994
"55.01","1",Manhattan,"005501","1005501",,Greenwich Village,MN0202,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061005501","4121",4650.76717945000,1338496.76795000001
"70.01","1",Manhattan,"007001","1007001",,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061007001","4165",4116.82326197000,967528.06360899995
"70.02","1",Manhattan,"007002","1007002",,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061007002","4165",4036.36952209000,941181.26639400003
"72","1",Manhattan,"007200","1007200",,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061007200","4165",5722.94380674000,1877428.79582000012
"80","1",Manhattan,"008000","1008000",,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061008000","4165",5682.15354559000,1855976.69852999994
"82","1",Manhattan,"008200","1008200",,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061008200","4165",5681.26086793000,1856719.42015999998
"87","1",Manhattan,"008700","1008700",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061008700","4104",5579.48038550000,1780834.06535000005
"93","1",Manhattan,"009300","1009300",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061009300","4104",5740.25895778000,1929422.57462000009
"94","1",Manhattan,"009400","1009400",,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061009400","4165",5738.94007408000,1646379.21084999992
"95","1",Manhattan,"009500","1009500",,Midtown South-Flatiron-Union Square,MN0501,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061009500","4165",5658.97071691000,1851171.24881000002
"96","1",Manhattan,"009600","1009600",,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061009600","4165",5737.35624361000,1887288.38571999990
"97","1",Manhattan,"009700","1009700",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061009700","4104",5655.10995589000,1860581.09400999988
"99.02","1",Manhattan,"009902","1009902",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061009902","4104",8383.89303694000,2006894.84251999995
"101","1",Manhattan,"010100","1010100",,Midtown South-Flatiron-Union Square,MN0501,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061010100","4165",5701.71593196000,1891377.98652000003
"104","1",Manhattan,"010400","1010400",,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061010400","4165",5693.03611742000,1864600.36942999996
"121.02","1",Manhattan,"012102","1012102",,Hell's Kitchen,MN0402,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061012102","4104",3933.96052052000,959890.05928900000
"130","1",Manhattan,"013000","1013000",,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061013000","4108",5807.97295431000,1918144.60556999990
"132.02","1",Manhattan,"013202","1013202",,Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061013202","4108",3431.47781008000,727876.70494500000
"133","1",Manhattan,"013300","1013300",,Hell's Kitchen,MN0402,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061013300","4104",5684.39575861000,1876670.07208000007
"136.02","1",Manhattan,"013602","1013602",,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061013602","4108",3118.99716083000,607002.75515700004
"148.01","1",Manhattan,"014801","1014801",,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061014801","4108",3135.95092545000,559215.97959000000
"149","1",Manhattan,"014900","1014900",,Upper West Side-Lincoln Square,MN0701,MN07,MN07 Upper West Side (CD 7 Approximation),"36061014900","4107",5690.75677324000,1880350.19669999997
"150.01","1",Manhattan,"015001","1015001",,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015001","4108",3124.39323032000,556354.46036300005
"151.01","1",Manhattan,"015101","1015101",,Upper West Side-Lincoln Square,MN0701,MN07,MN07 Upper West Side (CD 7 Approximation),"36061015101","4107",4418.89071022000,1179802.65733999992
"154.03","1",Manhattan,"015403","1015403",,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015403","4108",2991.22048358000,555763.31320300000
"156.01","1",Manhattan,"015601","1015601",,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015601","4108",4004.82445573000,791936.96494099998
"156.02","1",Manhattan,"015602","1015602",,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061015602","4111",4524.70684771000,1169910.01639000000
"158.01","1",Manhattan,"015801","1015801",,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015801","4108",4692.93188472000,1353075.76215999993
"158.02","1",Manhattan,"015802","1015802",,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061015802","4111",3116.91669601000,551587.64415399998
"162","1",Manhattan,"016200","1016200",,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061016200","4111",10087.78634410000,2927429.50858000014
"169","1",Manhattan,"016900","1016900",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061016900","4107",5751.66165621000,1937087.87968000001
"171","1",Manhattan,"017100","1017100",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017100","4107",6578.84264098000,2262383.01447999990
"173","1",Manhattan,"017300","1017300",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017300","4107",5735.89530142000,1921881.19268000009
"174.01","1",Manhattan,"017401","1017401",,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061017401","4111",4175.33030196000,1086203.70932999998
"174.02","1",Manhattan,"017402","1017402",,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061017402","4111",3109.68354092000,547579.12672599999
"175","1",Manhattan,"017500","1017500",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017500","4107",6483.80365379000,2318094.02316999994
"177","1",Manhattan,"017700","1017700",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017700","4107",5688.50157024000,1878929.74707999988
"184","1",Manhattan,"018400","1018400",,East Harlem (North),MN1102,MN11,MN11 East Harlem (CD 11 Equivalent),"36061018400","4111",5771.87402807000,1903568.41941999993
"186","1",Manhattan,"018600","1018600",,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061018600","4110",4621.74084376000,1311722.33119999990
"194","1",Manhattan,"019400","1019400",,East Harlem (North),MN1102,MN11,MN11 East Harlem (CD 11 Equivalent),"36061019400","4111",5505.70131666000,1881162.57499000011
"205","1",Manhattan,"020500","1020500",,Morningside Heights,MN0901,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061020500","4109",7148.86462368000,2977095.90413000016
"206","1",Manhattan,"020600","1020600",,East Harlem (North),MN1102,MN11,MN11 East Harlem (CD 11 Equivalent),"36061020600","4111",5176.87307702000,1602693.81960000005
"207.01","1",Manhattan,"020701","1020701",,Morningside Heights,MN0901,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061020701","4109",2984.71727731000,508167.88820400002
"208","1",Manhattan,"020800","1020800",,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061020800","4110",5174.63965039000,1599291.60112000001
"213.03","1",Manhattan,"021303","1021303",,Manhattanville-West Harlem,MN0902,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061021303","4109",7255.90349988000,1643103.36976999999
"215","1",Manhattan,"021500","1021500",,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061021500","4110",5034.43196557000,750635.02574199997
