"state","geoid","tot_jobs","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20","off_jobs"
"NY","36005000200",65,0,0,1,0,0,4,0,2,0,1,6,0,14
"NY","36005000400",529,0,0,0,1,0,7,230,37,0,3,213,0,491
"NY","36005001600",1343,0,0,43,1,0,9,678,367,0,3,207,0,1308
"NY","36005001901",1296,2,0,62,72,0,182,15,150,0,141,34,0,658
"NY","36005001902",2287,1,0,151,43,0,26,0,61,3,34,179,0,498
"NY","36005001903",2100,0,0,15,4,0,468,0,5,0,9,1,494,996
"NY","36005002001",250,0,2,60,0,1,0,187,0,0,0,0,0,250
"NY","36005002002",143,0,5,3,0,0,1,2,36,0,11,3,0,61
"NY","36005002300",185,0,0,47,0,0,0,116,0,0,0,12,0,175
"NY","36005002400",193,0,0,0,0,0,0,0,38,0,25,11,0,74
"NY","36005002500",460,0,18,5,2,0,2,251,55,0,51,8,0,392
"NY","36005002701",337,2,0,33,0,0,0,0,0,0,7,15,193,250
"NY","36005002702",657,0,43,81,3,0,10,105,102,0,39,23,15,421
"NY","36005002800",1059,0,7,147,0,0,2,462,3,0,73,26,0,720
"NY","36005003100",799,0,0,4,6,0,2,264,16,0,2,39,0,333
"NY","36005003300",432,0,0,29,0,0,8,104,29,4,5,33,0,212
"NY","36005003500",479,0,0,39,0,0,2,190,53,0,17,12,0,313
"NY","36005003700",17,0,0,0,0,0,0,0,16,0,1,0,0,17
"NY","36005003800",50,0,0,0,0,0,0,0,41,0,0,2,0,43
"NY","36005003900",1732,0,1,43,24,0,2,685,85,0,82,25,616,1563
"NY","36005004001",379,0,0,14,0,0,0,284,1,0,53,13,0,365
"NY","36005004100",1231,0,5,10,0,0,0,259,726,0,19,22,92,1133
"NY","36005004200",1967,440,12,47,2,0,0,341,64,0,57,7,5,975
"NY","36005004300",4387,4,9,18,31,0,1608,435,1907,1,66,113,0,4192
"NY","36005004400",759,1,4,47,0,0,0,0,346,0,268,8,0,674
"NY","36005004600",264,0,6,6,0,0,0,0,3,0,10,19,73,117
"NY","36005004800",318,0,9,8,31,0,7,139,11,2,22,4,0,233
"NY","36005005001",64,0,0,11,0,0,0,0,19,0,3,6,0,39
"NY","36005005002",244,0,17,22,0,0,4,0,19,0,29,8,0,99
"NY","36005005100",3299,0,12,84,38,0,289,545,221,17,213,249,195,1863
"NY","36005005200",988,0,3,18,1,0,148,183,20,0,33,60,0,466
"NY","36005005300",146,0,0,50,0,0,8,73,1,0,3,0,0,135
"NY","36005005400",644,0,28,3,8,0,3,345,88,0,34,18,0,527
"NY","36005005600",548,0,0,1,0,0,1,500,6,0,8,4,0,520
"NY","36005005902",432,0,0,25,43,0,0,1,50,1,3,5,270,398
"NY","36005006000",273,0,4,0,2,0,0,221,0,0,18,12,0,257
"NY","36005006100",1834,55,10,21,298,0,0,865,18,0,213,23,66,1569
"NY","36005006200",167,0,6,45,0,0,1,0,18,0,31,9,0,110
"NY","36005006301",5434,46,34,180,163,0,188,160,117,716,367,56,1703,3730
"NY","36005006302",386,0,14,0,7,0,0,0,0,250,107,2,0,380
"NY","36005006400",29,0,0,0,2,0,0,1,9,0,5,0,0,17
"NY","36005006500",11282,0,182,82,218,0,283,104,9034,0,227,160,401,10691
"NY","36005006700",796,0,46,80,2,0,0,327,71,17,56,24,0,623
"NY","36005006800",301,0,12,3,1,0,0,0,80,0,0,1,0,97
"NY","36005006900",903,0,0,31,0,0,0,0,43,1,37,29,676,817
"NY","36005007000",208,0,2,2,0,0,1,0,63,1,75,8,13,165
"NY","36005007100",2078,13,16,15,16,0,20,269,265,12,106,303,555,1590
"NY","36005007200",221,0,34,11,11,0,1,1,42,0,27,20,0,147
"NY","36005007300",422,0,4,8,0,0,0,23,237,0,11,5,0,288
"NY","36005007400",179,1,0,28,0,0,0,147,2,0,0,0,0,178
"NY","36005007500",674,0,12,0,0,14,2,413,30,9,28,7,0,515
"NY","36005007600",467,1,2,16,21,0,20,206,49,0,37,38,0,390
"NY","36005007700",935,2,0,17,0,48,4,217,477,0,59,50,0,874
"NY","36005007800",434,0,0,14,1,0,1,191,119,0,58,18,0,402
"NY","36005007900",653,0,0,52,0,0,13,246,144,0,42,49,63,609
"NY","36005008300",1142,0,68,77,0,0,3,528,58,0,31,53,0,818
