"zone_name","avg_day_traffic_may19","avg_day_traffic_may21","avg_day_traffic_jun19","avg_day_traffic_jun21","avg_day_traffic_jul19","avg_day_traffic_jul21","avg_day_traffic_aug19","avg_day_traffic_aug21","avg_pt_travel_time_sec_may19","avg_pt_travel_time_sec_may21","avg_pt_travel_time_sec_jun19","avg_pt_travel_time_sec_jun21","avg_pt_travel_time_sec_jul19","avg_pt_travel_time_sec_jul21","avg_pt_travel_time_sec_aug19","avg_pt_travel_time_sec_aug21","avg_pt_trip_length_mi_may19","avg_pt_trip_length_mi_may21","avg_pt_trip_length_mi_jun19","avg_pt_trip_length_mi_jun21","avg_pt_trip_length_mi_jul19","avg_pt_trip_length_mi_jul21","avg_pt_trip_length_mi_aug19","avg_pt_trip_length_mi_aug21"
5000900,18375,12554,17946,13044,16583,13924,16452,13044,3148,2833,3128,2895,3108,3064,3061,2785,10.8,10.5,11.2,10.5,11.5,13,11.6,11.2
3044000,79186,64592,74290,65646,65353,63659,66288,60637,3813,3353,3799,3411,3683,3452,3674,3357,12.1,11.6,12.5,11.7,13,13.4,13.4,12.6
5000300,23329,14781,22990,15865,22019,17583,22021,16254,3578,3175,3545,3209,3501,3387,3514,3128,12.3,11.5,12.5,11.6,12.6,14.2,13,12.2
1007900,99681,77496,100013,81477,93230,88313,97965,79348,4753,4421,4707,4504,4655,4461,4682,4401,17.8,20.1,17.6,19.6,18.5,20.8,19.4,20.9
3029000,67975,52797,68301,53478,63510,58990,63200,56271,3546,3226,3527,3288,3455,3299,3403,3207,13.5,13.3,13.6,13.4,14.3,14.8,14.5,14.2
3029600,70499,54336,72129,56326,64536,61322,65305,57119,3587,3240,3590,3293,3500,3319,3445,3207,14.1,13.6,14.3,13.6,14.8,15.1,14.9,14.4
2002000,21937,17911,24174,18762,23592,21417,22962,18897,3615,3119,3580,3103,3531,3453,3506,3118,13.5,12.4,14,11.7,14.4,16,14.8,13.6
3078600,58388,42553,59753,42266,56542,49469,58437,44074,3745,3465,3693,3519,3631,3626,3611,3399,9.4,10.2,9.8,10.1,10.2,11.8,10.4,10.5
3095000,79467,71912,85052,75449,81355,79400,85715,73636,3437,2993,3369,3044,3265,3113,3231,2930,9.9,9.2,9.8,9.4,10.1,10.4,10.2,9.5
3044200,105338,85508,99432,85547,86389,83260,88518,81626,3721,3307,3726,3369,3613,3418,3594,3297,11.7,11.1,12,11.3,12.6,13.1,13,12.1
5027705,51415,40224,46987,42702,44086,39563,45410,39934,2831,2500,2797,2550,2764,2595,2753,2495,10,8.6,10.3,8.8,10.5,10,10.5,9.4
3003800,76163,87853,74009,86208,76252,80027,78602,78936,3954,3551,4002,3645,3941,3622,3904,3554,18.6,18.5,18.9,18.6,20,20,20.3,19.6
5014608,45533,44052,45276,45658,43362,44023,42107,42255,2905,2651,2909,2683,2938,2760,2971,2676,12.7,12.5,13,12.6,14.3,14.5,15,14.1
5023100,32041,28361,31053,29509,32426,29578,33283,28186,3140,2734,3087,2780,2993,2907,2958,2743,14,11.7,13.9,11.9,13.8,14.1,14.3,12.9
3044400,66455,54364,61227,54431,55197,53726,58358,52930,3886,3434,3884,3488,3749,3507,3755,3433,12.6,12,13,12.1,13.6,13.6,14.1,13.1
3044600,52761,39558,51073,40449,42514,40376,40909,40177,3701,3258,3679,3289,3577,3406,3551,3208,11.2,10.9,11.5,10.8,11.9,13.1,12.2,11.4
1002100,176897,80470,172823,90527,168351,100505,160156,84916,4077,4207,4082,4243,4063,4210,4107,4165,13.2,17.4,13.2,16.5,13.5,17.6,14.5,17.6
5018701,166847,157975,164681,170455,171051,165603,178881,166274,4287,3974,4316,4218,4459,4380,4534,4298,29.6,30.7,30.6,31.7,33.7,36.5,35.3,36.2
3045200,64326,50769,61695,52263,55692,51859,55530,50210,3973,3518,3966,3570,3835,3594,3843,3525,13,12.4,13.5,12.5,14.2,14.3,14.7,13.7
5029104,199606,174735,197100,179810,191437,181499,197017,177122,4160,3809,4213,3958,4271,4087,4293,4021,28,28.6,28.6,28.8,31.5,33,32.3,32.7
5017010,45545,40941,42055,38160,35364,37445,38686,36106,3140,2751,3152,2769,3198,2884,3201,2781,15.8,14.2,16.1,14.2,17.2,16.2,17.6,15.7
5017005,127217,109276,122675,109446,115250,107048,115861,108440,2800,2527,2822,2540,2873,2649,2904,2563,14.1,13.6,14.6,13.7,16.4,16,17,15.4
5017600,58704,53740,55385,55212,50691,48510,48017,47478,2763,2515,2817,2521,2844,2650,2888,2555,11.2,10.8,12,10.9,13.2,13.2,13.8,12.2
3045400,52329,39500,47789,38886,42282,39910,41103,38504,3684,3305,3696,3353,3595,3472,3589,3325,10.8,10.4,11.1,10.5,11.8,13,12.3,11.6
5018901,95412,75372,96331,74946,92195,70030,95731,68213,3635,3050,3626,3169,3663,3325,3674,3127,19.8,15.6,20.3,16,21.6,18.9,22.1,17.2
5025100,191892,182128,191274,179940,193052,179226,198570,175916,4121,3825,4139,4046,4258,4213,4334,4146,28.4,29.3,29.2,30.4,32,34.9,33.5,34.8
1001300,174135,97257,166814,104385,152218,109391,158056,104813,4341,4335,4354,4447,4330,4417,4350,4323,15.8,20.1,16,19.7,16.7,21.6,17.7,21.1
1031704,58741,43445,55609,45133,52252,47541,52969,46757,4767,4457,4781,4581,4716,4568,4716,4462,19.2,22,19.7,21.6,20.7,24.1,21.6,23.4
3047000,25391,19209,25129,19064,22916,21329,22071,19905,3731,3286,3674,3255,3517,3470,3528,3214,10,9.4,10.4,9.4,11,12.6,11.4,9.9
5017300,64131,54692,59750,56864,58450,55482,61050,52501,3275,2790,3264,2847,3223,2906,3219,2808,15.3,12.5,15.9,12.4,16.3,14.1,16.7,13.7
5016901,206198,178571,200758,180511,199263,179765,200048,177224,4125,3822,4153,4050,4280,4208,4333,4125,26.7,27.7,27.7,28.6,30.5,33.2,31.9,33
2009000,188601,178639,195177,183608,187494,185017,191406,183996,5027,4823,5043,4970,5094,5118,5112,5034,35.6,40,35.3,39.4,39.4,44.3,40,44.4
5000800,56316,33240,55712,35557,53787,36948,53052,34041,4062,3198,4063,3315,3900,3429,3868,3203,22.1,16.2,22.7,16.3,22.3,18.8,22.8,16.9
1000900,80579,48146,79941,54359,78326,61294,78851,56664,4653,4396,4642,4538,4621,4476,4603,4377,17.6,21.2,17.7,20.9,18.2,22.5,19.2,22.2
1031900,104273,81624,101532,91326,95781,96811,101051,92470,4571,4306,4564,4436,4529,4395,4513,4299,18.4,21.2,18.7,21,19.6,23,20.5,22.5
3047200,27171,22152,27488,21015,24556,22494,23412,22002,3700,3270,3656,3260,3490,3456,3498,3216,9.7,9.2,10.3,9.3,10.7,12.4,11.1,9.9
3008400,119069,61274,115844,61120,106902,67440,109444,62133,4059,3591,4073,3652,3959,3650,3886,3502,14.5,15.1,15,14.8,15.4,16.4,15.9,15.4
3036001,20765,19183,21333,20002,21917,20478,19931,19238,3104,2871,3115,2944,3136,2976,3081,2864,7.8,8,7.8,7.8,8.3,8.8,8.5,8.3
3050400,145887,124529,146993,125975,130310,133215,146066,125772,4297,3872,4274,3943,4132,3959,4130,3849,15.5,16.1,15.9,16.1,16.5,18.2,17.3,17.2
3047600,40723,29903,40646,29531,33350,36076,33494,31754,3713,3349,3694,3356,3554,3630,3514,3309,9.6,9.8,10.2,9.9,10.5,14,10.8,10.7
3074200,44650,37009,45184,38685,41106,39195,42326,38233,3706,3403,3679,3469,3601,3523,3575,3356,10.8,11,11.1,11,11.5,12.4,11.7,11.4
5011401,88945,73096,86956,74976,80522,68721,80551,68455,3258,2829,3206,2909,3158,2917,3153,2804,11.6,10.5,11.7,10.8,12.2,11.9,12.4,11.3
5005000,196283,178038,189087,173942,188360,174517,191491,175089,4508,4103,4554,4310,4555,4402,4587,4340,29,30.4,29.6,30.7,32.5,35.1,33.6,34.9
2002400,153727,137666,152210,143954,151881,149337,170896,145008,4153,3683,4141,3820,4052,3834,4054,3701,21.9,21.1,21.9,21.4,22.7,23,23.5,22.4
5024401,36738,42479,37006,44183,33909,41326,33921,40510,2735,2300,2733,2315,2775,2417,2798,2312,12.9,10.3,13.1,10.7,14.2,12.7,14.6,11.4
3005000,78828,88085,75747,88130,76129,83800,77585,80251,3893,3499,3952,3587,3915,3587,3885,3516,18,18,18.5,18.1,19.8,19.6,20.1,19.2
3005201,71510,83378,71004,84238,72169,78913,74896,77080,3955,3531,3999,3627,3946,3615,3914,3546,18.9,18.4,19.1,18.5,20.2,19.9,20.5,19.6
3005202,71655,83481,71033,82790,72770,78209,75278,75111,3988,3557,4032,3654,3977,3635,3945,3565,19.2,18.7,19.4,18.8,20.5,20.2,21,19.9
5009601,66483,58987,65206,59406,60113,55930,62162,54907,3288,2908,3260,2998,3234,3047,3229,2897,12.2,11.4,12.5,11.6,13,13.2,13.2,12.3
1003300,158669,71299,157882,75967,157240,94126,156676,77668,4371,4473,4377,4496,4353,4527,4428,4484,16.7,22.9,16.8,21.7,17.7,24,18.9,24
3051001,57101,37819,59323,37654,53437,42177,56204,39595,3964,3580,3931,3621,3840,3685,3791,3488,10.8,10.7,11.2,10.7,11.6,12.5,12,11.3
3051400,62473,45022,63100,44330,58112,50154,61118,46217,3985,3586,3944,3658,3868,3701,3817,3516,11,11.2,11.3,11.3,11.8,13,12.2,11.8
3051601,62384,47182,62520,46083,58370,52723,60644,49269,3971,3537,3912,3599,3824,3648,3781,3465,10.8,10.6,11.1,10.7,11.5,12.2,11.8,11
1006900,100744,77335,99813,80459,93023,85720,95288,77348,4690,4369,4654,4446,4592,4408,4622,4348,17.5,19.9,17.4,19.4,18.3,20.8,19.2,20.8
3051602,56167,42272,57177,42093,51254,43917,52895,41871,4001,3597,3956,3667,3872,3717,3827,3523,10.9,11,11.3,11,11.6,12.8,12,11.5
2005600,30336,29607,31488,33651,30280,32011,32260,32006,3742,3297,3772,3353,3691,3596,3621,3282,14.1,12.9,14.7,13.1,15.2,16.5,15.1,14
2006200,105138,91771,109719,93146,99034,98311,104665,93455,4184,3899,4186,4028,4186,4125,4175,4028,22.8,24.8,23.1,24.9,25.3,27.5,25.7,28
3051800,54445,41585,54216,41915,45373,41689,47580,40161,3894,3450,3846,3539,3753,3547,3682,3375,10.8,10.5,11,10.6,11.4,12.1,11.7,10.9
2006000,202001,198856,204925,197620,197720,199608,196460,201754,4810,4738,4770,4875,4866,5000,4909,4947,31.6,37.7,30.9,36.9,35.5,41.7,36.4,42.3
5018902,209730,211650,210768,211963,207887,199714,204986,201443,4590,4238,4654,4487,4756,4619,4818,4557,33.8,35,34.7,35.8,38.2,40.7,39.5,40.5
3061004,50334,39213,49151,41066,42812,40846,38951,40153,3006,2697,3013,2707,3003,2750,2960,2691,9.2,8.9,9.4,8.6,9.9,9.6,10.2,9.3
3061200,26828,20654,28489,24093,26604,24217,23465,23481,2933,2645,2926,2660,2895,2728,2858,2647,8.7,8.5,8.8,8.3,9.3,9.5,9.6,9.1
3052800,33901,25998,34088,26418,29065,27221,30219,26460,3789,3468,3800,3499,3704,3678,3663,3432,10.8,10.7,11.2,10.8,11.7,13.8,12.2,11.6
5003600,163063,140738,162831,158560,161831,158693,166320,156712,4709,4373,4751,4663,4844,4757,4905,4659,32.5,34,33.7,35,36.5,39.6,38,39.2
5004000,172599,156363,171697,166174,172800,166332,180555,162407,4492,4244,4524,4510,4623,4611,4700,4514,30.3,32.4,31.3,33.3,34.1,37.8,35.7,37.4
