"","tractid","boro_code","boro_name","boro_ct2020","shape_area","aug19","aug21","jul19","jul21","jun19","jun21","may19","may21","may_change","jun_change","jul_change","aug_change"
"1",36005000100,2,"Bronx",2000100,18163734.8957,14678,13243,13621,13744,13305,14548,14266,13412,-854,1243,123,-1435
"2",36005000200,2,"Bronx",2000200,4877012.54236,8525,7552,7853,8222,8183,7443,7733,7073,-660,-740,369,-973
"3",36005000400,2,"Bronx",2000400,8557952.85498,9252,7979,9766,8331,10499,8331,10840,7689,-3151,-2168,-1435,-1273
"4",36005001600,2,"Bronx",2001600,5221330.09714,8732,8009,8542,8110,10000,8685,10909,8457,-2452,-1315,-432,-723
"5",36005001901,2,"Bronx",2001901,2232573.69174,6970,6597,6978,7240,8121,6616,6909,6095,-814,-1505,262,-373
"6",36005001902,2,"Bronx",2001902,5059222.39755,14279,14137,13653,14862,15246,15392,14588,14709,121,146,1209,-142
"7",36005001903,2,"Bronx",2001903,9738246.67854,10658,10898,10754,11581,11339,11876,10912,11860,948,537,827,240
"8",36005001904,2,"Bronx",2001904,930649.175315,29,39,35,52,32,15,26,13,-13,-17,17,10
"9",36005002001,2,"Bronx",2002001,2131637.85734,5233,5091,5368,5372,5603,5111,5640,4788,-852,-492,4,-142
"10",36005002002,2,"Bronx",2002002,2205268.54957,5397,6078,5299,6066,5717,5455,5495,4977,-518,-262,767,681
"11",36005002300,2,"Bronx",2002300,1126745.17997,5755,4494,6230,5338,6826,4402,6762,4425,-2337,-2424,-892,-1261
"12",36005002400,2,"Bronx",2002400,7798457.59029,1989,2166,1922,2128,2030,2007,1705,1774,69,-23,206,177
"13",36005002500,2,"Bronx",2002500,1372151.25721,8071,6949,8161,7491,8691,6467,8724,6527,-2197,-2224,-670,-1122
"14",36005002701,2,"Bronx",2002701,875817.560439,3585,3752,3526,4320,3677,3849,4008,4084,76,172,794,167
"15",36005002702,2,"Bronx",2002702,1677797.98908,8976,7747,8917,8790,9484,8289,9441,8216,-1225,-1195,-127,-1229
"16",36005002800,2,"Bronx",2002800,4706441.34601,17919,16989,17173,17165,17905,16041,17000,15533,-1467,-1864,-8,-930
"17",36005003100,2,"Bronx",2003100,1680016.49223,6278,6001,5840,5580,6335,5877,5964,5825,-139,-458,-260,-277
"18",36005003300,2,"Bronx",2003300,1639977.47276,5571,4802,5509,5189,5624,4945,5431,5097,-334,-679,-320,-769
"19",36005003500,2,"Bronx",2003500,1525330.7145,5261,5525,5586,5906,6140,5599,6135,5494,-641,-541,320,264
"20",36005003700,2,"Bronx",2003700,1787327.43903,1331,1305,1399,1399,1501,1459,1408,1450,42,-42,0,-26
"21",36005003800,2,"Bronx",2003800,682166.27016,1896,1991,2012,1773,1938,1961,1641,1816,175,23,-239,95
"22",36005003900,2,"Bronx",2003900,2326464.74675,10637,9380,10944,10154,11974,9002,12300,8566,-3734,-2972,-790,-1257
"23",36005004001,2,"Bronx",2004001,1325276.21781,3112,2839,2908,2885,3589,3005,3482,2832,-650,-584,-23,-273
"24",36005004100,2,"Bronx",2004100,1977775.59105,7544,6946,7726,7186,8967,6620,8668,6815,-1853,-2347,-540,-598
"25",36005004200,2,"Bronx",2004200,5209131.48695,20513,17480,20336,18222,21301,18258,20539,17544,-2995,-3043,-2114,-3033
"26",36005004300,2,"Bronx",2004300,2441015.71332,12594,8730,12125,8789,13243,8860,13316,8628,-4688,-4383,-3336,-3864
"27",36005004400,2,"Bronx",2004400,2870570.3598,10710,10780,10199,10974,10852,9968,10482,9652,-830,-884,775,70
"28",36005004600,2,"Bronx",2004600,1435084.95728,5929,5840,6121,6301,6085,5845,5842,5670,-172,-240,180,-89
"29",36005004800,2,"Bronx",2004800,1600408.89595,6796,5524,6481,6246,6936,5928,6749,5550,-1199,-1008,-235,-1272
"30",36005005001,2,"Bronx",2005001,1053604.26779,3898,3505,3623,3482,4103,3450,4117,3311,-806,-653,-141,-393
