"GEOID","NAME","popn","black","hisp","pov","med_inc","emp","perc.black","perc.hisp","perc.pov","perc.emp"
"36005000100","Census Tract 1; Bronx County; New York",4446,2064,1172,0,NA,0,0.464237516869096,0.263607737291948,0,0
"36005000200","Census Tract 2; Bronx County; New York",4870,1473,3109,688,115064,2312,0.302464065708419,0.638398357289528,0.141273100616016,0.474743326488706
"36005000400","Census Tract 4; Bronx County; New York",6257,1897,4212,378,100553,3167,0.303180437909541,0.673166054019498,0.060412338181237,0.506153108518459
"36005001600","Census Tract 16; Bronx County; New York",6177,2292,3507,893,41362,2537,0.371053909664886,0.567751335599806,0.144568560790028,0.410717176622956
"36005001901","Census Tract 19.01; Bronx County; New York",2181,1125,842,623,49500,1162,0.515818431911967,0.386061439706557,0.285648784961027,0.532783127005961
"36005001902","Census Tract 19.02; Bronx County; New York",1883,426,876,586,67375,821,0.22623473181094,0.465215082315454,0.311205523101434,0.436006372809347
"36005001903","Census Tract 19.03; Bronx County; New York",0,0,0,0,NA,0,NA,NA,NA,NA
"36005001904","Census Tract 19.04; Bronx County; New York",0,0,0,0,NA,0,NA,NA,NA,NA
"36005002001","Census Tract 20.01; Bronx County; New York",4461,2106,2309,1847,24684,1300,0.472091459314055,0.517596951356198,0.414032728087873,0.291414481058059
"36005002002","Census Tract 20.02; Bronx County; New York",3915,1146,2850,1307,NA,1471,0.29272030651341,0.727969348659004,0.333844189016603,0.3757343550447
"36005002300","Census Tract 23; Bronx County; New York",4528,1936,2972,2141,19743,1185,0.42756183745583,0.656360424028269,0.472835689045936,0.261704946996466
"36005002400","Census Tract 24; Bronx County; New York",0,0,0,0,NA,0,NA,NA,NA,NA
"36005002500","Census Tract 25; Bronx County; New York",5642,1562,4146,2494,27378,2064,0.276852180077987,0.734845799361928,0.442041829138603,0.36582772066643
"36005002701","Census Tract 27.01; Bronx County; New York",3335,1242,2386,1806,21427,999,0.372413793103448,0.71544227886057,0.541529235382309,0.299550224887556
"36005002702","Census Tract 27.02; Bronx County; New York",5000,1602,3578,2176,29206,1733,0.3204,0.7156,0.4352,0.3466
"36005002800","Census Tract 28; Bronx County; New York",5230,3463,1840,130,64308,2647,0.662141491395793,0.351816443594646,0.0248565965583174,0.506118546845124
"36005003100","Census Tract 31; Bronx County; New York",2559,977,1469,582,41370,1162,0.381789761625635,0.574052364204767,0.227432590855803,0.454083626416569
"36005003300","Census Tract 33; Bronx County; New York",3559,1314,2297,1853,24122,858,0.369204832818207,0.645406012924979,0.520651868502388,0.241078954762574
"36005003500","Census Tract 35; Bronx County; New York",3899,1598,2980,1046,34185,1366,0.4098486791485,0.764298538086689,0.268273916388818,0.350346242626314
"36005003700","Census Tract 37; Bronx County; New York",331,136,265,115,NA,159,0.410876132930514,0.800604229607251,0.347432024169184,0.48036253776435
"36005003800","Census Tract 38; Bronx County; New York",1182,200,954,171,88077,509,0.169204737732657,0.807106598984772,0.144670050761421,0.430626057529611
"36005003900","Census Tract 39; Bronx County; New York",6227,346,5765,2078,20640,2298,0.0555644772763771,0.925806969648306,0.333708045607837,0.369038060061025
"36005004001","Census Tract 40.01; Bronx County; New York",1409,194,800,144,70536,587,0.137686302342087,0.56777856635912,0.102200141944642,0.416607523066004
"36005004100","Census Tract 41; Bronx County; New York",6583,2710,4601,2749,27328,2468,0.411666413489291,0.698921464377943,0.417590764089321,0.374905058483974
"36005004200","Census Tract 42; Bronx County; New York",8179,3678,6044,1599,52423,3402,0.449688225944492,0.738965643721726,0.195500672453845,0.415943269348331
"36005004300","Census Tract 43; Bronx County; New York",5627,1742,4031,1534,34890,2028,0.309578816420828,0.716367513772881,0.272614181624311,0.360405189266039
"36005004400","Census Tract 44; Bronx County; New York",4592,1745,2911,2150,17319,1218,0.380008710801394,0.633928571428571,0.468205574912892,0.265243902439024
"36005004600","Census Tract 46; Bronx County; New York",1763,559,1217,1036,17083,486,0.317073170731707,0.690300623936472,0.587634713556438,0.275666477595009
"36005004800","Census Tract 48; Bronx County; New York",4261,922,3453,1284,34436,1555,0.216381131189862,0.810373151842291,0.301337714151608,0.364937808026285
"36005005001","Census Tract 50.01; Bronx County; New York",4565,1517,2951,2208,34087,1464,0.332311062431544,0.646440306681271,0.48368017524644,0.320700985761227
"36005005002","Census Tract 50.02; Bronx County; New York",6466,1670,4801,2588,36598,1983,0.258274048871018,0.742499226724405,0.400247448190535,0.306681101144448
"36005005100","Census Tract 51; Bronx County; New York",6492,3433,3437,3246,22850,1529,0.528804682686383,0.529420825631546,0.5,0.235520640788663
"36005005200","Census Tract 52; Bronx County; New York",1931,719,1320,731,29657,720,0.372345934748835,0.683583635422061,0.37856033143449,0.372863801139306
"36005005300","Census Tract 53; Bronx County; New York",5379,3115,2540,2664,26437,1490,0.579103922662205,0.472206729875442,0.495259341885109,0.277003160438743
"36005005400","Census Tract 54; Bronx County; New York",5715,1569,3987,1559,48750,1993,0.274540682414698,0.697637795275591,0.272790901137358,0.348731408573928
"36005005600","Census Tract 56; Bronx County; New York",2311,440,1613,807,39572,871,0.190393768931199,0.697966248377326,0.349199480744267,0.376893119861532
"36005005902","Census Tract 59.02; Bronx County; New York",2938,851,1772,907,48456,1190,0.289652825051055,0.603131381892444,0.308713410483322,0.405037440435671
"36005006000","Census Tract 60; Bronx County; New York",1297,158,1231,327,47375,510,0.121819583654588,0.9491133384734,0.252120277563608,0.393215111796453
"36005006100","Census Tract 61; Bronx County; New York",3868,3116,743,495,66430,2063,0.805584281282316,0.192088934850052,0.127973112719752,0.53335056876939
"36005006200","Census Tract 62; Bronx County; New York",6217,2060,4260,2335,30236,2078,0.331349525494612,0.685217950780119,0.3755830786553,0.334244812610584
"36005006301","Census Tract 63.01; Bronx County; New York",5845,2288,2987,1574,55396,3279,0.391445680068435,0.511035072711719,0.26928999144568,0.560992301112062
"36005006302","Census Tract 63.02; Bronx County; New York",0,0,0,0,NA,0,NA,NA,NA,NA
"36005006400","Census Tract 64; Bronx County; New York",3928,1379,2240,1657,24730,1317,0.351069246435845,0.570264765784114,0.421843177189409,0.335285132382892
"36005006500","Census Tract 65; Bronx County; New York",5627,2117,3450,2987,22985,1719,0.376221787808779,0.613115336769149,0.530833481428825,0.305491380842367
"36005006700","Census Tract 67; Bronx County; New York",6777,1953,5358,3595,17390,2334,0.288180610889774,0.790615316511731,0.530470709753578,0.3444001770695
"36005006800","Census Tract 68; Bronx County; New York",2493,414,1507,858,29844,652,0.166064981949458,0.604492579221821,0.344163658243081,0.261532290413157
"36005006900","Census Tract 69; Bronx County; New York",7118,2026,5142,2724,29627,2382,0.284630514189379,0.722393930879461,0.382691767350379,0.334644563079517
"36005007000","Census Tract 70; Bronx County; New York",3869,913,1966,1133,57905,1329,0.235978288963556,0.508141638666322,0.292840527268028,0.343499612302921
"36005007100","Census Tract 71; Bronx County; New York",2872,925,1905,503,44792,1276,0.322075208913649,0.663300835654596,0.175139275766017,0.444289693593315
"36005007200","Census Tract 72; Bronx County; New York",6176,997,2314,1004,63449,2465,0.161431347150259,0.374676165803109,0.162564766839378,0.399125647668394
"36005007300","Census Tract 73; Bronx County; New York",4444,1408,2844,1547,28166,1454,0.316831683168317,0.63996399639964,0.348109810981098,0.327182718271827
"36005007400","Census Tract 74; Bronx County; New York",3192,1124,2187,614,53166,1317,0.352130325814536,0.68515037593985,0.192355889724311,0.412593984962406
"36005007500","Census Tract 75; Bronx County; New York",6670,2292,4562,2183,34484,2522,0.343628185907046,0.683958020989505,0.327286356821589,0.378110944527736
"36005007600","Census Tract 76; Bronx County; New York",5109,1401,2907,832,53784,2102,0.274221961244862,0.568995889606577,0.162849872773537,0.411430808377373
"36005007700","Census Tract 77; Bronx County; New York",2166,731,1799,475,48846,1010,0.337488457987073,0.83056325023084,0.219298245614035,0.466297322253001
"36005007800","Census Tract 78; Bronx County; New York",6241,1510,3224,1414,61328,2490,0.241948405704214,0.516583880788335,0.226566255407787,0.398974523313572
"36005007900","Census Tract 79; Bronx County; New York",7086,2457,5505,2222,34604,2318,0.346740050804403,0.77688399661304,0.313576065481231,0.327123906294101
"36005008300","Census Tract 83; Bronx County; New York",6564,1647,5430,1142,50920,2637,0.25091407678245,0.827239488117002,0.173979280926264,0.401736745886654
"36005008400","Census Tract 84; Bronx County; New York",2811,1168,1626,146,67724,1267,0.415510494485948,0.578441835645678,0.0519388118107435,0.450729277837069
"36005008500","Census Tract 85; Bronx County; New York",5746,1799,3907,2030,34543,1981,0.313087365123564,0.679951270449008,0.35328924469196,0.344761573268361
"36005008600","Census Tract 86; Bronx County; New York",4304,1597,2374,1752,23987,1192,0.371050185873606,0.551579925650558,0.407063197026022,0.276951672862454
"36005008700","Census Tract 87; Bronx County; New York",6677,1791,5291,2780,36402,2479,0.268234236932754,0.792421746293245,0.416354650292047,0.371274524487045
"36005008900","Census Tract 89; Bronx County; New York",3239,515,2677,598,41484,1297,0.158999691262735,0.826489657301636,0.184624884223526,0.400432232170423
"36005009000","Census Tract 90; Bronx County; New York",3692,1267,2535,1325,33831,1156,0.3431744312026,0.686619718309859,0.358884073672806,0.313109425785482
"36005009200","Census Tract 92; Bronx County; New York",5959,877,3549,1313,56208,2580,0.147172344353079,0.595569726464172,0.220338983050847,0.432958550092297
"36005009301","Census Tract 93.01; Bronx County; New York",5066,1445,3665,1316,47185,2234,0.285234899328859,0.723450454007106,0.259771022502961,0.440979076194236
"36005009302","Census Tract 93.02; Bronx County; New York",463,205,186,0,NA,0,0.442764578833693,0.401727861771058,0,0
"36005009600","Census Tract 96; Bronx County; New York",2740,525,1386,490,53333,938,0.191605839416058,0.505839416058394,0.178832116788321,0.342335766423358
"36005009800","Census Tract 98; Bronx County; New York",4715,977,2987,819,56128,1583,0.207211028632025,0.633510074231177,0.173700954400848,0.335737009544008
"36005011000","Census Tract 110; Bronx County; New York",0,0,0,0,NA,0,NA,NA,NA,NA
"36005011502","Census Tract 115.02; Bronx County; New York",4242,1527,2965,1758,28592,1573,0.35997171145686,0.698962753418199,0.414427157001414,0.370815652993871
"36005011701","Census Tract 117.01; Bronx County; New York",1509,497,1105,513,33967,581,0.32935719019218,0.732273028495693,0.339960238568588,0.385023194168323
"36005011702","Census Tract 117.02; Bronx County; New York",0,0,0,0,NA,0,NA,NA,NA,NA
"36005011800","Census Tract 118; Bronx County; New York",5798,328,2338,480,109396,2464,0.0565712314591238,0.403242497412901,0.0827871679889617,0.424974129010003
"36005011900","Census Tract 119; Bronx County; New York",6159,2152,3764,1817,34335,2373,0.349407371326514,0.611138171781133,0.295015424581913,0.385289819775938
"36005012101","Census Tract 121.01; Bronx County; New York",3415,1092,2300,1000,55000,1495,0.319765739385066,0.673499267935578,0.292825768667643,0.437774524158126
"36005012102","Census Tract 121.02; Bronx County; New York",1337,491,1036,308,43472,487,0.367240089753179,0.774869109947644,0.230366492146597,0.364248317127898
"36005012300","Census Tract 123; Bronx County; New York",4915,2663,2621,616,47402,2549,0.541810783316378,0.533265513733469,0.125330620549339,0.518616480162767
"36005012500","Census Tract 125; Bronx County; New York",4030,828,3105,1220,51875,1652,0.20545905707196,0.770471464019851,0.30272952853598,0.409925558312655
"36005012701","Census Tract 127.01; Bronx County; New York",2460,566,1942,702,44667,1069,0.230081300813008,0.789430894308943,0.285365853658537,0.434552845528455
"36005012901","Census Tract 129.01; Bronx County; New York",5469,1153,3969,1891,40575,1738,0.210824648016091,0.725726823916621,0.345767050649113,0.317791186688609
"36005013000","Census Tract 130; Bronx County; New York",1262,45,921,343,59083,599,0.0356576862123613,0.729793977812995,0.271790808240887,0.474643423137876
"36005013100","Census Tract 131; Bronx County; New York",4822,1891,3267,2113,17410,1930,0.392160929075073,0.677519701368727,0.438199917046869,0.400248859394442
"36005013200","Census Tract 132; Bronx County; New York",7249,1835,3618,720,104651,3468,0.253138363912264,0.499103324596496,0.0993240446958201,0.478410815284867
"36005013300","Census Tract 133; Bronx County; New York",6038,2208,4049,1272,34055,2295,0.365684001324942,0.67058628684995,0.210665783371977,0.380092745942365
"36005013500","Census Tract 135; Bronx County; New York",3125,1640,1585,1357,27602,1085,0.5248,0.5072,0.43424,0.3472
"36005013800","Census Tract 138; Bronx County; New York",2969,580,1222,376,84042,1340,0.195351970360391,0.411586392724823,0.126641966992253,0.451330414280903
"36005014100","Census Tract 141; Bronx County; New York",7133,2700,4394,1950,35506,2849,0.378522360857984,0.616010093929623,0.273377260619655,0.399411187438665
"36005014300","Census Tract 143; Bronx County; New York",1715,807,958,703,16678,572,0.470553935860058,0.558600583090379,0.409912536443149,0.333527696793003
"36005014400","Census Tract 144; Bronx County; New York",6253,2631,4000,1847,29213,1909,0.420758036142652,0.639692947385255,0.295378218455142,0.305293459139613
"36005014500","Census Tract 145; Bronx County; New York",6425,4341,2365,3080,27352,1892,0.675642023346304,0.368093385214008,0.479377431906615,0.294474708171206
"36005014701","Census Tract 147.01; Bronx County; New York",5645,3163,2291,2669,25858,1804,0.560318866253322,0.405845881310895,0.472807794508415,0.319574844995571
"36005014702","Census Tract 147.02; Bronx County; New York",5232,2416,3328,2179,21196,1378,0.46177370030581,0.636085626911315,0.416475535168196,0.263379204892966
"36005014900","Census Tract 149; Bronx County; New York",4917,1725,2907,1768,41311,1705,0.350823672971324,0.591214154972544,0.359568842790319,0.34675615212528
"36005015100","Census Tract 151; Bronx County; New York",5143,2897,2270,2107,28618,1931,0.56328990861365,0.441376628426988,0.409683064359323,0.37546179272798
"36005015200","Census Tract 152; Bronx County; New York",2666,397,1399,348,77238,1253,0.148912228057014,0.524756189047262,0.13053263315829,0.469992498124531
"36005015300","Census Tract 153; Bronx County; New York",4161,2187,2217,1064,38862,1477,0.525594808940159,0.532804614275415,0.255707762557078,0.354962749339101
"36005015500","Census Tract 155; Bronx County; New York",2943,1173,1935,681,37168,1044,0.398572884811417,0.657492354740061,0.231396534148828,0.35474006116208
"36005015700","Census Tract 157; Bronx County; New York",5520,2591,3045,2023,39776,2304,0.469384057971015,0.551630434782609,0.366485507246377,0.417391304347826
"36005015800","Census Tract 158; Bronx County; New York",1461,76,744,372,70357,678,0.0520191649555099,0.509240246406571,0.254620123203285,0.464065708418891
"36005015900","Census Tract 159; Bronx County; New York",2218,366,1919,828,24485,960,0.165013525698828,0.865193868349865,0.373309287646528,0.432822362488729
"36005016000","Census Tract 160; Bronx County; New York",3903,180,1293,296,96838,1929,0.0461183704842429,0.331283627978478,0.0758390981296439,0.49423520368947
"36005016100","Census Tract 161; Bronx County; New York",4490,1461,2880,1767,22286,1600,0.325389755011136,0.641425389755011,0.393541202672606,0.356347438752784
"36005016200","Census Tract 162; Bronx County; New York",1826,180,883,100,115278,842,0.0985761226725082,0.483570646221249,0.0547645125958379,0.461117196056955
"36005016300","Census Tract 163; Bronx County; New York",0,0,0,0,NA,0,NA,NA,NA,NA
"36005016400","Census Tract 164; Bronx County; New York",1029,86,327,269,66912,368,0.0835762876579203,0.317784256559767,0.261418853255588,0.357628765792031
"36005016500","Census Tract 165; Bronx County; New York",1134,700,418,271,46179,490,0.617283950617284,0.368606701940035,0.238977072310406,0.432098765432099
"36005016600","Census Tract 166; Bronx County; New York",2417,342,1458,348,105764,1223,0.1414977244518,0.603227141083988,0.143980140670252,0.505999172527927
"36005016700","Census Tract 167; Bronx County; New York",3599,1880,2059,1368,41500,1340,0.522367324256738,0.572103362045013,0.38010558488469,0.372325646012781
"36005016900","Census Tract 169; Bronx County; New York",1894,940,935,769,50107,671,0.496304118268215,0.493664202745512,0.406019007391763,0.354276663146779
"36005017100","Census Tract 171; Bronx County; New York",0,0,0,0,NA,0,NA,NA,NA,NA
"36005017300","Census Tract 173; Bronx County; New York",6411,3347,3337,3082,17446,1927,0.522071439712993,0.520511620652004,0.480736234596787,0.300577133052566
"36005017500","Census Tract 175; Bronx County; New York",6116,3365,3441,1852,26463,2272,0.550196206671027,0.562622629169392,0.302812295618051,0.371484630477436
"36005017701","Census Tract 177.01; Bronx County; New York",4717,2846,2478,2196,30375,1644,0.603349586601654,0.525333898664405,0.465550137799449,0.348526605893576
"36005017702","Census Tract 177.02; Bronx County; New York",5480,3245,2184,1783,47963,1878,0.592153284671533,0.398540145985401,0.32536496350365,0.342700729927007
"36005017901","Census Tract 179.01; Bronx County; New York",5096,1526,3854,1150,47035,2298,0.299450549450549,0.756279434850863,0.225667189952904,0.450941915227629
"36005017902","Census Tract 179.02; Bronx County; New York",3816,2022,1878,941,41475,1542,0.529874213836478,0.492138364779874,0.246593291404612,0.404088050314465
"36005018101","Census Tract 181.01; Bronx County; New York",3215,1022,2268,1181,NA,1242,0.317884914463453,0.705443234836703,0.367340590979782,0.386314152410575
"36005018102","Census Tract 181.02; Bronx County; New York",5453,2309,3100,1522,33950,2249,0.423436640381441,0.568494406748579,0.279112415184302,0.412433522831469
"36005018301","Census Tract 183.01; Bronx County; New York",4665,1569,2447,687,56508,2039,0.336334405144695,0.52454448017149,0.147266881028939,0.437084673097535
"36005018302","Census Tract 183.02; Bronx County; New York",3680,1637,2112,428,72540,1872,0.444836956521739,0.573913043478261,0.116304347826087,0.508695652173913
"36005018400","Census Tract 184; Bronx County; New York",4085,129,2013,366,117819,2050,0.0315789473684211,0.492778457772338,0.0895960832313342,0.501835985312117
"36005018501","Census Tract 185.01; Bronx County; New York",2783,1688,1341,906,50177,1263,0.606539705353935,0.481854114265181,0.325547969816744,0.453826805605462
"36005018502","Census Tract 185.02; Bronx County; New York",6314,2710,3527,2827,21635,1463,0.429204941400063,0.558599936648717,0.447735191637631,0.231707317073171
"36005018900","Census Tract 189; Bronx County; New York",8460,3420,4904,2856,45770,3434,0.404255319148936,0.57966903073286,0.337588652482269,0.405910165484634
"36005019300","Census Tract 193; Bronx County; New York",5933,3002,3550,1494,38663,2502,0.505983482218102,0.598348221810214,0.251811899544918,0.421709084780044
"36005019400","Census Tract 194; Bronx County; New York",2070,363,1210,419,70185,911,0.17536231884058,0.584541062801932,0.202415458937198,0.440096618357488
"36005019500","Census Tract 195; Bronx County; New York",7143,3713,3241,3371,33412,2227,0.519809603807924,0.453730925381492,0.471930561388772,0.31177376452471
"36005019700","Census Tract 197; Bronx County; New York",7830,1864,6163,3880,34871,2951,0.238058748403576,0.787100893997446,0.495530012771392,0.376883780332056
"36005019900","Census Tract 199; Bronx County; New York",7496,2989,4571,2515,35139,3349,0.398745997865528,0.609791889007471,0.33551227321238,0.446771611526147
"36005020000","Census Tract 200; Bronx County; New York",4935,530,2990,1173,46021,1983,0.107396149949341,0.605876393110436,0.237689969604863,0.401823708206687
"36005020100","Census Tract 201; Bronx County; New York",3868,1489,2564,1585,37433,1075,0.384953464322647,0.66287487073423,0.409772492244054,0.277921406411582
"36005020200","Census Tract 202; Bronx County; New York",2578,313,1693,564,53651,1203,0.121411947245927,0.656710628394104,0.21877424359969,0.466640806826998
"36005020400","Census Tract 204; Bronx County; New York",3012,398,1927,536,59138,1193,0.132138114209827,0.639774236387782,0.177954847277556,0.396082337317397
