"","V1","V2","V3"
"Tracts","Total","Treated","Comparison"
"N","2336","1168","1168"
"Census Tracts","292","146","146"
"Mean Traffic (MADT) (sd)","81032 (38425)","80707 (37728)","81357 (39123)"
"Proportionate Black - Mean (sd)*","0.12 (0.17)","0.13 (0.15)","0.12 (0.2)"
"Proportionate Hispanic - Mean (sd)*","0.2 (0.18)","0.2 (0.17)","0.21 (0.19)"
"Proportionate Below Poverty - Mean (sd)*","0.14 (0.11)","0.14 (0.11)","0.15 (0.11)"
"Proproportion Office-Based Employment - Mean (sd)*","0.81 (0.17)","0.8 (0.17)","0.81 (0.16)"
"Population - Mean (sd)","4212.32 (2208.39)","4477.73 (2536.89)","3946.9 (1783.63)"
"Transit stops - Mean (sd)","1.95 (1.92)","2.55 (2.13)","1.35 (1.45)"
"Percentage Commercial - Mean (sd)","0.16 (0.27)","0.24 (0.31)","0.08 (0.18)"
"Percentage Residential - Mean (sd)","0.72 (0.34)","0.57 (0.38)","0.86 (0.22)"
"Percentage Manufacturing - Mean (sd)","0.09 (0.2)","0.14 (0.25)","0.03 (0.11)"
